指標名,観光地,,,,,Tripadvisorの取得範囲の変更について,,,,,
出典,Tripadvisor,,,,,前回までTripadvisorの全観光スポットを取得していたが、2021年度から観光カテゴリーを,,,,,
年次,2022/1/27 取得,,,,,「名所・有名スポット」に絞って情報を取得している、観光スポット全体の件数が昨年から倍増しており、,,,,,
URL,https://www.tripadvisor.jp/,,,,,個人名で登録された観光ツアーや、バーなど営業状況が不明な登録地が散見されたため。,,,,,
備考,"（2019年度：2,042件、2020年度：2,985件、2021年度：1,925件）",,,,,,,,,,
,,,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,ジャンル,星,口コミ数,URL,
渋谷区,千駄ケ谷５丁目,-,東京都渋谷区千駄ヶ谷 5-24-55,35.688763,139.701294,バスタ新宿,名所・有名スポット,3.5,342件,https://www.tripadvisor.jp/Attraction_Review-g14131014-d10172588-Reviews-Shinjuku_Expressway_Bus_Terminal-Sendagaya_Shibuya_Tokyo_Tokyo_Prefecture_Kant.html,　
渋谷区,千駄ケ谷５丁目,-,東京都渋谷区千駄ヶ谷 5-24-10,35.685402,139.702219,NTTドコモ代々木ビル,建築物,3.5,56件,https://www.tripadvisor.jp/Attraction_Review-g14131014-d1991083-Reviews-NTT_Docomo_Yoyogi_Building-Sendagaya_Shibuya_Tokyo_Tokyo_Prefecture_Kanto.html,　
渋谷区,東４丁目,-,東京都渋谷区東4-10-28,35.655644,139.71165,國學院大學博物館,大学・学校 • 教育施設 • 歴史博物館,4,30件,https://www.tripadvisor.jp/Attraction_Review-g1066456-d8673519-Reviews-Kokugakuin_University_Museum-Shibuya_Tokyo_Tokyo_Prefecture_Kanto.html,　
渋谷区,渋谷３丁目,-,東京都渋谷区渋谷3-5-12,35.657541,139.706036,金王八幡宮,神社/寺院/教会など,4,98件,https://www.tripadvisor.jp/Attraction_Review-g1066456-d2618205-Reviews-Konno_Hachimangu_Shrine-Shibuya_Tokyo_Tokyo_Prefecture_Kanto.html,　
渋谷区,神南２丁目,-,東京都渋谷区神南 2-1-1,35.666926,139.699773,国立代々木競技場,アリーナ・スタジアム,4,145件,https://www.tripadvisor.jp/Attraction_Review-g1066456-d5979639-Reviews-National_Yoyogi_Stadium-Shibuya_Tokyo_Tokyo_Prefecture_Kanto.html,　
渋谷区,恵比寿西１丁目,-,東京都渋谷区恵比寿西1丁目11番地,35.647145,139.707751,恵比寿神社,旧跡,4,81件,https://www.tripadvisor.jp/Attraction_Review-g1066456-d3309316-Reviews-Ebisu_Shrine-Shibuya_Tokyo_Tokyo_Prefecture_Kanto.html,　
渋谷区,代々木神園町,-,東京都渋谷区代々木神園町1-1 Meiji Jingū Gyoen,35.675875,139.699897,清正井,名所・有名スポット,4,28件,https://www.tripadvisor.jp/Attraction_Review-g1066456-d12506729-Reviews-Kiyomasa_s_Well-Shibuya_Tokyo_Tokyo_Prefecture_Kanto.html,　
渋谷区,神南１丁目,-,東京都渋谷区神南1-23-10,35.659728,139.700874,MAGNET by SHIBUYA109,名所・有名スポット • ショッピングモール,4,26件,https://www.tripadvisor.jp/Attraction_Review-g1066456-d15191099-Reviews-MAGNET_by_SHIBUYA109-Shibuya_Tokyo_Tokyo_Prefecture_Kanto.html,　
渋谷区,道玄坂１丁目,-,東京都渋谷区道玄坂1-1,35.658155,139.700984,モヤイ像,記念碑＆像,3,242件,https://www.tripadvisor.jp/Attraction_Review-g1066456-d1953259-Reviews-Moyai_Statue-Shibuya_Tokyo_Tokyo_Prefecture_Kanto.html,　
渋谷区,千駄ケ谷１丁目,-,東京都渋谷区千駄ヶ谷 1-1-24,35.67757,139.709041,鳩森八幡神社,旧跡 • 神社/寺院/教会など,4,49件,https://www.tripadvisor.jp/Attraction_Review-g14131014-d7608482-Reviews-Hatomori_Hachiman_Shrine-Sendagaya_Shibuya_Tokyo_Tokyo_Prefecture_Kanto.html,　
渋谷区,東２丁目,-,東京都渋谷区東2-5-6,35.655075,139.710822,渋谷氷川神社,神社/寺院/教会など,3.5,23件,https://www.tripadvisor.jp/Attraction_Review-g1066456-d8647790-Reviews-Shibuya_Hikawa_Shrine-Shibuya_Tokyo_Tokyo_Prefecture_Kanto.html,　
渋谷区,道玄坂２丁目,-,東京都渋谷区道玄坂2丁目,35.658966,139.696276,道玄坂,名所・有名スポット,3.5,150件,https://www.tripadvisor.jp/Attraction_Review-g1066456-d1373792-Reviews-Dogenzaka-Shibuya_Tokyo_Tokyo_Prefecture_Kanto.html,　
渋谷区,渋谷３丁目,-,東京都渋谷区渋谷3-21-3,35.657319,139.703023,渋谷ストリーム,名所・有名スポット • ショッピングモール,3.5,45件,https://www.tripadvisor.jp/Attraction_Review-g1066456-d15102634-Reviews-Shibuya_Stream-Shibuya_Tokyo_Tokyo_Prefecture_Kanto.html,　
渋谷区,代々木神園町,-,東京都渋谷区代々木神園町1-1,35.675875,139.699897,明治神宮 神楽殿,神社/寺院/教会など,4,15件,https://www.tripadvisor.jp/Attraction_Review-g1066456-d13812627-Reviews-Meiji_Jingu_Shrine_Kaguraden-Shibuya_Tokyo_Tokyo_Prefecture_Kanto.html,　
渋谷区,神宮前４丁目,-,東京都渋谷区神宮前4-15-2,35.668482,139.710924,裏参道ガーデン,名所・有名スポット,4.5,15件,https://www.tripadvisor.jp/Attraction_Review-g1066456-d10536450-Reviews-Urasando_Garden-Shibuya_Tokyo_Tokyo_Prefecture_Kanto.html,　
渋谷区,南平台町,-,"東京都渋谷区南平台町16-17 住友不動産ガーデンタワー1F, B1",35.653878,139.694015,ベルサール渋谷ガーデン,イベントスペース,3.5,13件,https://www.tripadvisor.jp/Attraction_Review-g1066456-d9569979-Reviews-Bellesalle_Shibuya_Garden-Shibuya_Tokyo_Tokyo_Prefecture_Kanto.html,　
渋谷区,神宮前５丁目,-,東京都渋谷区神宮前5-53-70,35.66238,139.708308,国連大学 (国際連合大学),建築物,3.5,25件,https://www.tripadvisor.jp/Attraction_Review-g1066456-d10140160-Reviews-United_Nations_University-Shibuya_Tokyo_Tokyo_Prefecture_Kanto.html,　
渋谷区,渋谷１丁目,-,東京都渋谷区渋谷1-12-16,35.660219,139.703673,御嶽神社,神社/寺院/教会など,3.5,31件,https://www.tripadvisor.jp/Attraction_Review-g1066456-d8016679-Reviews-Mitake_Shrine-Shibuya_Tokyo_Tokyo_Prefecture_Kanto.html,　
渋谷区,渋谷２丁目,-,東京都渋谷区渋谷2-15-1 クロスタワーテラス,35.658774,139.705222,尾崎豊 記念プレート,記念碑＆像,3.5,12件,https://www.tripadvisor.jp/Attraction_Review-g1066456-d11979884-Reviews-Yutaka_Ozaki_Memorial_Plate-Shibuya_Tokyo_Tokyo_Prefecture_Kanto.html,　
渋谷区,宇田川町,-,東京都渋谷区,35.663685,139.697701,青山通り,主要エリア • 名所・有名スポット,4,34件,https://www.tripadvisor.jp/Attraction_Review-g1066456-d1976256-Reviews-Aoyama_Street-Shibuya_Tokyo_Tokyo_Prefecture_Kanto.html,　
渋谷区,神宮前２丁目,-,東京都渋谷区神宮前 2−2−22,35.672501,139.71391,青山熊野神社,神社/寺院/教会など,4,16件,https://www.tripadvisor.jp/Attraction_Review-g1066456-d8678358-Reviews-Aoyama_Kumano_Shrine-Shibuya_Tokyo_Tokyo_Prefecture_Kanto.html,　
渋谷区,代々木神園町,-,東京都渋谷区代々木神園町1-1,35.675875,139.699897,明治神宮 宝物殿,旧跡 • 歴史博物館,3.5,29件,https://www.tripadvisor.jp/Attraction_Review-g1066456-d8146459-Reviews-Meiji_Jingu_Homotsuden-Shibuya_Tokyo_Tokyo_Prefecture_Kanto.html,　
渋谷区,道玄坂１丁目,-,東京都渋谷区道玄坂1-12-1,35.658041,139.698262,明日の神話,名所・有名スポット,4,9件,https://www.tripadvisor.jp/Attraction_Review-g1066456-d15239805-Reviews-Myth_of_Tomorrow-Shibuya_Tokyo_Tokyo_Prefecture_Kanto.html,　
渋谷区,神宮前１丁目,-,東京都渋谷区神宮前1丁目,35.670709,139.704453,ブラームスの小径,名所・有名スポット,3.5,25件,https://www.tripadvisor.jp/Attraction_Review-g1066456-d1373787-Reviews-Brahms_Lane-Shibuya_Tokyo_Tokyo_Prefecture_Kanto.html,　
渋谷区,広尾５丁目,-,東京都渋谷区広尾 5-1-21,35.649834,139.719144,祥雲寺,神社/寺院/教会など,3.5,12件,https://www.tripadvisor.jp/Attraction_Review-g14129745-d8652040-Reviews-Shoun_ji_Temple-Hiroo_Shibuya_Tokyo_Tokyo_Prefecture_Kanto.html,　
渋谷区,渋谷２丁目,-,東京都渋谷区渋谷2-21-1 渋谷ヒカリエ11F,35.658924,139.703554,渋谷ヒカリエ スカイロビー,展望台・タワー,4,4件,https://www.tripadvisor.jp/Attraction_Review-g1066456-d15857769-Reviews-Shibuya_Hikarie_Sky_Lobby-Shibuya_Tokyo_Tokyo_Prefecture_Kanto.html,　
渋谷区,渋谷３丁目,-,東京都渋谷区渋谷3-4-7,35.657205,139.706111,豊栄稲荷神社,神社/寺院/教会など,3.5,27件,https://www.tripadvisor.jp/Attraction_Review-g1066456-d8647795-Reviews-Toyosaka_Inari_Shrine-Shibuya_Tokyo_Tokyo_Prefecture_Kanto.html,　
渋谷区,神宮前５丁目,-,東京都渋谷区神宮前5-26-6,35.664999,139.704147,穏田神社,神社/寺院/教会など,3.5,13件,https://www.tripadvisor.jp/Attraction_Review-g1066456-d9801178-Reviews-Onden_Shrine-Shibuya_Tokyo_Tokyo_Prefecture_Kanto.html,　
渋谷区,東２丁目,-,東京都渋谷区東2-25-37,35.653322,139.707736,渋谷区ふれあい植物センター,名所・有名スポット • 庭園,4,12件,https://www.tripadvisor.jp/Attraction_Review-g1066456-d7915192-Reviews-Shibuya_Fureai_Botanical_Center-Shibuya_Tokyo_Tokyo_Prefecture_Kanto.html,　
渋谷区,神宮前６丁目,-,東京都渋谷区神宮前 6-6,35.667626,139.705719,原宿の橋,名所・有名スポット • 橋,4,6件,https://www.tripadvisor.jp/Attraction_Review-g1066456-d13287787-Reviews-Harajuku_Bridge-Shibuya_Tokyo_Tokyo_Prefecture_Kanto.html,　
渋谷区,神宮前６丁目,-,東京都渋谷区神宮前6-25-12,35.666126,139.702717,長泉寺,神社/寺院/教会など,3.5,14件,https://www.tripadvisor.jp/Attraction_Review-g1066456-d9714323-Reviews-Chosen_ji_Temple-Shibuya_Tokyo_Tokyo_Prefecture_Kanto.html,　
渋谷区,道玄坂２丁目,-,東京都渋谷区道玄坂2-10-1,35.657716,139.696546,与謝野晶子歌碑,記念碑＆像,3.5,10件,https://www.tripadvisor.jp/Attraction_Review-g1066456-d11879399-Reviews-Yosano_Akiko_Monument-Shibuya_Tokyo_Tokyo_Prefecture_Kanto.html,　
渋谷区,神宮前２丁目,-,東京都渋谷区神宮前2丁目･3丁目,35.673845,139.710841,キラー通り,名所・有名スポット,3.5,15件,https://www.tripadvisor.jp/Attraction_Review-g1066456-d1373788-Reviews-Killer_Street-Shibuya_Tokyo_Tokyo_Prefecture_Kanto.html,　
渋谷区,猿楽町,-,東京都渋谷区猿楽町29-10,35.647909,139.700401,猿楽塚,旧跡,3.5,15件,https://www.tripadvisor.jp/Attraction_Review-g1066456-d10291797-Reviews-Sarugakuzuka-Shibuya_Tokyo_Tokyo_Prefecture_Kanto.html,　
渋谷区,神宮前４丁目,-,東京都渋谷区神宮前4-12-10表参道ヒルズ同潤館2F,35.667143,139.709005,ギャラリー同潤会,名所・有名スポット,4,8件,https://www.tripadvisor.jp/Attraction_Review-g1066456-d6839663-Reviews-Gallery_Dojunkai-Shibuya_Tokyo_Tokyo_Prefecture_Kanto.html,　
渋谷区,神南１丁目,-,東京都渋谷区神南一丁目,35.664785,139.700003,ファイアー通り,名所・有名スポット,3.5,24件,https://www.tripadvisor.jp/Attraction_Review-g1066456-d1373784-Reviews-Fire_Street-Shibuya_Tokyo_Tokyo_Prefecture_Kanto.html,　
渋谷区,渋谷１丁目,-,東京都渋谷区渋谷1-25,35.660213,139.701484,渋谷のんべい横丁,名所・有名スポット,4.5,4件,https://www.tripadvisor.jp/Attraction_Review-g1066456-d15872248-Reviews-Shibuya_Nonbei_Yokocho-Shibuya_Tokyo_Tokyo_Prefecture_Kanto.html,　
渋谷区,渋谷１丁目,-,東京都渋谷区渋谷1-23-21,35.66253,139.703017,渋谷キャスト,名所・有名スポット,4,5件,https://www.tripadvisor.jp/Attraction_Review-g1066456-d13810261-Reviews-Shibuya_Cast-Shibuya_Tokyo_Tokyo_Prefecture_Kanto.html,　
渋谷区,恵比寿４丁目,-,東京都渋谷区恵比寿 4丁目 恵比寿ガーデンプレイス,35.64476,139.71385,恵比寿神社 (恵比寿ガーデンプレイス),神社/寺院/教会など,3.5,11件,https://www.tripadvisor.jp/Attraction_Review-g14131018-d10119575-Reviews-Yebisu_Shrine_Yebisu_Garden_Place-Ebisu_Shibuya_Tokyo_Tokyo_Prefecture_Kanto.html,　
渋谷区,千駄ケ谷１丁目,-,東京都渋谷区千駄ヶ谷 1-1-24 鳩森八幡神社,35.67757,139.709041,将棋堂,神社/寺院/教会など,3.5,6件,https://www.tripadvisor.jp/Attraction_Review-g14131014-d13944587-Reviews-Syogido-Sendagaya_Shibuya_Tokyo_Tokyo_Prefecture_Kanto.html,　
渋谷区,広尾５丁目,-,東京都渋谷区広尾 5−2−29,35.650478,139.720166,上宮寺,神社/寺院/教会など,3,12件,https://www.tripadvisor.jp/Attraction_Review-g14129745-d8652111-Reviews-Jougu_ji_Temple-Hiroo_Shibuya_Tokyo_Tokyo_Prefecture_Kanto.html,　
渋谷区,神南１丁目,-,東京都渋谷区神南1-4-1,35.665424,139.7003,北谷稲荷神社,神社/寺院/教会など,3,9件,https://www.tripadvisor.jp/Attraction_Review-g1066456-d10296552-Reviews-Kitaya_Inari_Shrine-Shibuya_Tokyo_Tokyo_Prefecture_Kanto.html,　
渋谷区,広尾５丁目,-,東京都渋谷区広尾 5丁目,35.650323,139.72056,広尾散歩通り,主要エリア,3.5,4件,https://www.tripadvisor.jp/Attraction_Review-g14129745-d13338352-Reviews-Hiroo_Sampodori-Hiroo_Shibuya_Tokyo_Tokyo_Prefecture_Kanto.html,　
渋谷区,東１丁目,-,東京都渋谷区東1-29-1,35.653961,139.707067,渋谷ブリッジ,名所・有名スポット,3.5,7件,https://www.tripadvisor.jp/Attraction_Review-g1066456-d15122390-Reviews-Shibuya_Bridge-Shibuya_Tokyo_Tokyo_Prefecture_Kanto.html,　
渋谷区,恵比寿１丁目,-,東京都渋谷区恵比寿 1-7-4,35.648109,139.710697,恵比寿横丁,名所・有名スポット,3.5,10件,https://www.tripadvisor.jp/Attraction_Review-g14131018-d15816899-Reviews-Ebisu_Yokocho-Ebisu_Shibuya_Tokyo_Tokyo_Prefecture_Kanto.html,　
渋谷区,代々木３丁目,-,東京都渋谷区代々木 3-8-10,35.682808,139.696236,平田神社,神社/寺院/教会など,3.5,6件,https://www.tripadvisor.jp/Attraction_Review-g14133713-d13199554-Reviews-Hirata_Shrine-Yoyogi_Shibuya_Tokyo_Tokyo_Prefecture_Kanto.html,　
渋谷区,代々木２丁目,-,東京都渋谷区代々木 2-26-5,35.685027,139.698853,金吾龍神社 東京分祠,神社/寺院/教会など,4.5,3件,https://www.tripadvisor.jp/Attraction_Review-g14133713-d13008443-Reviews-Kingoryu_Shrine_Tokyo_Bunshi-Yoyogi_Shibuya_Tokyo_Tokyo_Prefecture_Kanto.html,　
渋谷区,恵比寿南１丁目,-,東京都渋谷区恵比寿南1-5,35.647231,139.709289,ゑびす像,記念碑＆像,3,8件,https://www.tripadvisor.jp/Attraction_Review-g1066456-d16874082-Reviews-Ebisu_Statue-Shibuya_Tokyo_Tokyo_Prefecture_Kanto.html,　
渋谷区,笹塚１丁目,-,東京都渋谷区笹塚1-20-4,35.672719,139.668731,笹塚観音,神社/寺院/教会など,3.5,6件,https://www.tripadvisor.jp/Attraction_Review-g1066456-d12685283-Reviews-Sasazuka_Kannon-Shibuya_Tokyo_Tokyo_Prefecture_Kanto.html,　
渋谷区,鴬谷町,-,東京都渋谷区鶯谷町10-15,35.653178,139.702484,乗泉寺,神社/寺院/教会など,3.5,5件,https://www.tripadvisor.jp/Attraction_Review-g1066456-d10532072-Reviews-Josen_ji_Temple-Shibuya_Tokyo_Tokyo_Prefecture_Kanto.html,　
渋谷区,代々木２丁目,-,東京都渋谷区代々木 2-10-12 JA東京南新宿ビル1F,35.687954,139.698164,JA東京アグリパーク,名所・有名スポット,3.5,3件,https://www.tripadvisor.jp/Attraction_Review-g14133713-d15063360-Reviews-JA_Tokyo_Agri_Park-Yoyogi_Shibuya_Tokyo_Tokyo_Prefecture_Kanto.html,　
渋谷区,神宮前５丁目,-,東京都渋谷区神宮前5-7-7 Tokyo Union Church,35.666377,139.709241,東京ユニオンチャーチ,建築物 • 修道院 • 神社/寺院/教会など,3,5件,https://www.tripadvisor.jp/Attraction_Review-g1066456-d13287883-Reviews-Tokyo_Union_Church-Shibuya_Tokyo_Tokyo_Prefecture_Kanto.html,　
渋谷区,道玄坂２丁目,-,東京都渋谷区道玄坂2-10,35.658158,139.697293,道玄坂道供養碑,記念碑＆像,3,7件,https://www.tripadvisor.jp/Attraction_Review-g1066456-d11822858-Reviews-Dogenzaka_Street_Dedication_Monument-Shibuya_Tokyo_Tokyo_Prefecture_Kanto.html,　
渋谷区,千駄ケ谷１丁目,-,東京都渋谷区千駄ヶ谷 1-1-24 鳩森八幡神社 内,35.67757,139.709041,千駄ヶ谷の富士塚,旧跡 • 神社/寺院/教会など,4,7件,https://www.tripadvisor.jp/Attraction_Review-g14131014-d13944572-Reviews-Sendagaya_no_Fujizuka-Sendagaya_Shibuya_Tokyo_Tokyo_Prefecture_Kanto.html,　
渋谷区,神宮前１丁目,-,東京都渋谷区神宮前1丁目,35.670709,139.704453,モーツアルト通り,名所・有名スポット,3.5,8件,https://www.tripadvisor.jp/Attraction_Review-g1066456-d1373786-Reviews-Mozart_Street-Shibuya_Tokyo_Tokyo_Prefecture_Kanto.html,　
渋谷区,広尾５丁目,-,東京都渋谷区広尾 5-1-21,35.649834,139.719144,妙高山 東江寺,神社/寺院/教会など,3,9件,https://www.tripadvisor.jp/Attraction_Review-g14129745-d8653151-Reviews-Tokoji_Temple-Hiroo_Shibuya_Tokyo_Tokyo_Prefecture_Kanto.html,　
渋谷区,東３丁目,-,東京都渋谷区東3-10-13,35.649762,139.71102,福昌寺,旧跡 • 神社/寺院/教会など,3.5,3件,https://www.tripadvisor.jp/Attraction_Review-g1066456-d12318310-Reviews-Fukusho_ji_Temple-Shibuya_Tokyo_Tokyo_Prefecture_Kanto.html,　
渋谷区,恵比寿４丁目,-,東京都渋谷区恵比寿 4-20 38F,35.643163,139.713234,恵比寿ガーデンプレイスタワー スカイラウンジ,展望台・タワー,4.5,7件,https://www.tripadvisor.jp/Attraction_Review-g14131018-d17512734-Reviews-Ybisu_Garden_Place_Sky_Lounge-Ebisu_Shibuya_Tokyo_Tokyo_Prefecture_Kanto.html,　
渋谷区,神宮前６丁目,-,東京都渋谷区神宮前6-12-22,35.666776,139.704581,ベースヤードトーキョー,名所・有名スポット • ショッピングモール,3.5,3件,https://www.tripadvisor.jp/Attraction_Review-g1066456-d15221053-Reviews-Baseyard_Tokyo-Shibuya_Tokyo_Tokyo_Prefecture_Kanto.html,　
渋谷区,神宮前４丁目,-,東京都渋谷区神宮前,35.66929,139.707055,潜水艦殉国碑,記念碑＆像,3,4件,https://www.tripadvisor.jp/Attraction_Review-g1066456-d13809841-Reviews-Cenotaph_for_the_Submariners-Shibuya_Tokyo_Tokyo_Prefecture_Kanto.html,　
渋谷区,代々木５丁目,-,東京都渋谷区代々木 5-1-1 代々木八幡宮,35.672084,139.688535,代々木八幡遺跡,古代遺跡,3,15件,https://www.tripadvisor.jp/Attraction_Review-g14133713-d9983865-Reviews-Yoyogi_Hachiman_Ruins-Yoyogi_Shibuya_Tokyo_Tokyo_Prefecture_Kanto.html,　
渋谷区,猿楽町,-,東京都渋谷区猿楽町12,35.651614,139.701984,猿楽古代住居跡,古代遺跡,3,7件,https://www.tripadvisor.jp/Attraction_Review-g1066456-d10532066-Reviews-Sarugaku_Ancient_Residence-Shibuya_Tokyo_Tokyo_Prefecture_Kanto.html,　
渋谷区,代々木５丁目,-,東京都渋谷区代々木 5-65,35.67227,139.690609,春の小川歌碑,記念碑＆像,4,4件,https://www.tripadvisor.jp/Attraction_Review-g14133713-d13226379-Reviews-Harunoogawa_Kahi-Yoyogi_Shibuya_Tokyo_Tokyo_Prefecture_Kanto.html,　
渋谷区,神宮前４丁目,-,東京都渋谷区神宮前4-30-3 東急プラザ表参道原宿 6F,35.668688,139.70594,おもはらの森,名所・有名スポット • 庭園,4,4件,https://www.tripadvisor.jp/Attraction_Review-g1066456-d15872599-Reviews-Omohara_Forest-Shibuya_Tokyo_Tokyo_Prefecture_Kanto.html,　
渋谷区,恵比寿２丁目,-,東京都渋谷区恵比寿 2,35.647482,139.718802,渋谷川 古川清流復活の碑,記念碑＆像,2.5,4件,https://www.tripadvisor.jp/Attraction_Review-g14131018-d8673685-Reviews-Shibuyagawa_Furukawa_Seiryu_Fukkatsu_no_Hi_Monument-Ebisu_Shibuya_Tokyo_Tokyo_P.html,　
渋谷区,千駄ケ谷４丁目,-,東京都渋谷区千駄ヶ谷 4-26-7,35.681339,139.704061,日本共産党本部,名所・有名スポット,3.5,4件,https://www.tripadvisor.jp/Attraction_Review-g14131014-d4373465-Reviews-Japanese_Communist_Party_Head_Quarter-Sendagaya_Shibuya_Tokyo_Tokyo_Prefecture_.html,　
渋谷区,渋谷３丁目,-,東京都渋谷区渋谷3-5-8,35.657855,139.70657,東福寺,神社/寺院/教会など,3.5,12件,https://www.tripadvisor.jp/Attraction_Review-g1066456-d8647820-Reviews-Tofuku_ji_Temple-Shibuya_Tokyo_Tokyo_Prefecture_Kanto.html,　
渋谷区,代々木５丁目,-,東京都渋谷区代々木5-2-1,35.671295,139.688935,福泉寺,神社/寺院/教会など,3,6件,https://www.tripadvisor.jp/Attraction_Review-g14133713-d10296548-Reviews-Fukusenji_Temple-Yoyogi_Shibuya_Tokyo_Tokyo_Prefecture_Kanto.html,　
渋谷区,代々木３丁目,-,東京都渋谷区代々木 3-26-1,35.68421,139.691803,諦徳寺,神社/寺院/教会など,3.5,8件,https://www.tripadvisor.jp/Attraction_Review-g14133713-d10296537-Reviews-Taichoji_Temple-Yoyogi_Shibuya_Tokyo_Tokyo_Prefecture_Kanto.html,　
渋谷区,広尾５丁目,-,東京都渋谷区広尾 5-1-21,35.649834,139.719144,瑞泉山香林院,神社/寺院/教会など,3.5,7件,https://www.tripadvisor.jp/Attraction_Review-g14129745-d8652601-Reviews-Korinin_Temple-Hiroo_Shibuya_Tokyo_Tokyo_Prefecture_Kanto.html,　
渋谷区,本町２丁目,-,東京都渋谷区本町2-44-3,35.684824,139.684404,幡ヶ谷不動尊,神社/寺院/教会など,3.5,10件,https://www.tripadvisor.jp/Attraction_Review-g1066456-d8150152-Reviews-Hatagaya_Fudoson-Shibuya_Tokyo_Tokyo_Prefecture_Kanto.html,　
渋谷区,西原２丁目,-,東京都渋谷区西原2-53-1,35.671575,139.674789,渋谷区立 代々木大山公園運動場,アリーナ・スタジアム,4,4件,https://www.tripadvisor.jp/Attraction_Review-g1066456-d13020872-Reviews-Shibuya_Ward_Yoyogi_Oyama_Park_Playground-Shibuya_Tokyo_Tokyo_Prefecture_Kanto.html,　
渋谷区,千駄ケ谷２丁目,-,東京都渋谷区千駄ヶ谷 2-35-1,35.676564,139.710613,瑞円寺,神社/寺院/教会など,3.5,3件,https://www.tripadvisor.jp/Attraction_Review-g14131014-d13299349-Reviews-Zuien_ji_Temple-Sendagaya_Shibuya_Tokyo_Tokyo_Prefecture_Kanto.html,　
渋谷区,代々木４丁目,-,東京都渋谷区代々木 4丁目,35.679222,139.691506,切通しの坂,名所・有名スポット,3.5,5件,https://www.tripadvisor.jp/Attraction_Review-g14133713-d10298074-Reviews-Kiritoshi_no_Saka-Yoyogi_Shibuya_Tokyo_Tokyo_Prefecture_Kanto.html,　
渋谷区,道玄坂２丁目,-,東京都渋谷区道玄坂2,35.658966,139.696276,しぶや百軒店,名所・有名スポット,3,3件,https://www.tripadvisor.jp/Attraction_Review-g1066456-d15816495-Reviews-Shibuya_Hyakkendana-Shibuya_Tokyo_Tokyo_Prefecture_Kanto.html,　
渋谷区,千駄ケ谷２丁目,-,東京都渋谷区千駄ヶ谷 2-29,35.676067,139.710724,お万榎稲荷神社,神社/寺院/教会など,3.5,3件,https://www.tripadvisor.jp/Attraction_Review-g14131014-d14008029-Reviews-Oman_Inoki_Inari_Shrine-Sendagaya_Shibuya_Tokyo_Tokyo_Prefecture_Kanto.html,　
渋谷区,恵比寿１丁目,-,東京都渋谷区恵比寿 1-18-1,35.647656,139.713703,台雲寺,神社/寺院/教会など,3,5件,https://www.tripadvisor.jp/Attraction_Review-g14131018-d10157435-Reviews-Daiun_ji_Temple-Ebisu_Shibuya_Tokyo_Tokyo_Prefecture_Kanto.html,　
渋谷区,代々木３丁目,-,東京都渋谷区代々木 3-27-5,35.684149,139.691564,正春寺,神社/寺院/教会など,3,7件,https://www.tripadvisor.jp/Attraction_Review-g14133713-d10296541-Reviews-Shoshun_ji_Temple-Yoyogi_Shibuya_Tokyo_Tokyo_Prefecture_Kanto.html,　
渋谷区,神宮前２丁目,-,東京都渋谷区神宮前2-3-8,35.673581,139.713191,龍厳寺,神社/寺院/教会など,4,3件,https://www.tripadvisor.jp/Attraction_Review-g1066456-d15709719-Reviews-Ryugan_ji_Temple-Shibuya_Tokyo_Tokyo_Prefecture_Kanto.html,　
渋谷区,代々木３丁目,-,東京都渋谷区代々木 3,35.684035,139.694625,津島神社,神社/寺院/教会など,3,5件,https://www.tripadvisor.jp/Attraction_Review-g14133713-d14910595-Reviews-Tsushima_Shrine-Yoyogi_Shibuya_Tokyo_Tokyo_Prefecture_Kanto.html,　
渋谷区,代々木５丁目,-,東京都渋谷区代々木 5-16-3,35.674839,139.688259,カトリック聖アルフォンソ初台教会,神社/寺院/教会など • 大聖堂,4.5,2件,https://www.tripadvisor.jp/Attraction_Review-g14133713-d17347904-Reviews-Catholic_Saint_Alfonso_Hatsudai_Church-Yoyogi_Shibuya_Tokyo_Tokyo_Prefecture_K.html,　
渋谷区,千駄ケ谷５丁目,-,東京都渋谷区千駄ケ谷5丁目20−10,35.682919,139.703399,ほぼ新宿のれん街,"名所・有名スポット, グルメ, 観光ツアー, その他",4,3件,https://www.tripadvisor.jp/Attraction_Review-g14131014-d16800510-Reviews-Hobo_Shinjukunorengai-Sendagaya_Shibuya_Tokyo_Tokyo_Prefecture_Kanto.html,　
渋谷区,広尾５丁目,-,東京都渋谷区広尾 5-1-21,35.649834,139.719144,瑞泉山 霊泉院,神社/寺院/教会など,3,6件,https://www.tripadvisor.jp/Attraction_Review-g14129745-d8652609-Reviews-Reisenin_Temple-Hiroo_Shibuya_Tokyo_Tokyo_Prefecture_Kanto.html,　
渋谷区,猿楽町,-,東京都渋谷区猿楽町18-8,35.648645,139.700468,ヒルサイドテラス東京,建築物,4,2件,https://www.tripadvisor.jp/Attraction_Review-g1066456-d15272263-Reviews-Hillside_Terrace-Shibuya_Tokyo_Tokyo_Prefecture_Kanto.html,　
渋谷区,広尾２丁目,-,東京都渋谷区広尾 2-5-11,35.650137,139.714769,東北寺,神社/寺院/教会など,3,2件,https://www.tripadvisor.jp/Attraction_Review-g14129745-d14986065-Reviews-Tohoku_ji_Temple-Hiroo_Shibuya_Tokyo_Tokyo_Prefecture_Kanto.html,　
